trivial, nontrivial, cycles, bl, routed, usage
35, 25, 421, 14, 11, 0.306122
29, 31, 521, 16, 15, 0.316327
30, 30, 431, 15, 15, 0.301020
29, 31, 521, 16, 15, 0.316327
30, 30, 431, 15, 15, 0.301020
32, 28, 494, 15, 13, 0.367347
23, 37, 600, 18, 19, 0.326531
31, 29, 498, 15, 14, 0.301020
31, 29, 498, 15, 14, 0.301020
31, 29, 471, 13, 16, 0.321429
32, 28, 470, 15, 13, 0.321429
34, 26, 415, 14, 12, 0.321429
34, 26, 415, 14, 12, 0.321429
31, 29, 436, 11, 18, 0.341837
31, 29, 480, 12, 17, 0.341837
31, 29, 480, 12, 17, 0.341837
34, 26, 378, 13, 13, 0.326531
32, 28, 488, 15, 13, 0.295918
29, 31, 440, 17, 14, 0.285714
34, 26, 443, 11, 15, 0.362245
32, 28, 471, 14, 14, 0.311224
29, 31, 504, 17, 14, 0.285714
32, 28, 432, 13, 15, 0.326531
30, 30, 415, 12, 18, 0.316327
32, 28, 432, 13, 15, 0.326531
28, 32, 530, 10, 22, 0.413265
29, 31, 502, 14, 17, 0.377551
36, 24, 425, 14, 10, 0.331633
36, 24, 425, 14, 10, 0.331633
33, 27, 493, 16, 11, 0.306122
34, 26, 467, 15, 11, 0.290816
29, 31, 475, 14, 17, 0.336735
30, 30, 514, 19, 11, 0.255102
32, 28, 523, 17, 11, 0.280612
31, 29, 461, 11, 18, 0.346939
31, 29, 478, 12, 17, 0.357143
36, 24, 425, 14, 10, 0.321429
26, 34, 524, 16, 18, 0.316327
32, 28, 438, 14, 14, 0.301020
25, 35, 556, 16, 19, 0.336735
33, 27, 446, 13, 14, 0.316327
32, 28, 438, 14, 14, 0.301020
33, 27, 446, 13, 14, 0.316327
33, 27, 437, 14, 13, 0.306122
40, 20, 350, 11, 9, 0.316327
40, 20, 350, 11, 9, 0.316327
28, 32, 469, 13, 19, 0.357143
31, 29, 472, 13, 16, 0.346939
28, 32, 469, 13, 19, 0.357143
33, 27, 439, 11, 16, 0.326531
38, 22, 432, 12, 10, 0.316327
35, 25, 464, 14, 11, 0.285714
28, 32, 517, 17, 15, 0.321429
33, 27, 429, 11, 16, 0.357143
35, 25, 464, 14, 11, 0.285714
33, 27, 429, 11, 16, 0.357143
30, 30, 512, 18, 12, 0.275510
39, 21, 366, 15, 6, 0.260204
30, 30, 512, 18, 12, 0.275510
39, 21, 366, 15, 6, 0.260204
34, 26, 413, 11, 15, 0.352041
33, 27, 409, 11, 16, 0.331633
35, 25, 497, 15, 10, 0.306122
32, 28, 476, 13, 15, 0.336735
34, 26, 409, 11, 15, 0.346939
31, 29, 470, 10, 19, 0.352041
34, 26, 413, 14, 12, 0.306122
34, 26, 409, 11, 15, 0.346939
34, 26, 413, 14, 12, 0.306122
26, 34, 538, 17, 17, 0.306122
28, 32, 426, 15, 17, 0.306122
34, 26, 417, 15, 11, 0.290816
34, 26, 417, 15, 11, 0.290816
31, 29, 471, 12, 17, 0.362245
33, 27, 450, 12, 15, 0.341837
31, 29, 446, 12, 17, 0.352041
34, 26, 427, 15, 11, 0.285714
34, 26, 427, 15, 11, 0.285714
38, 22, 406, 10, 12, 0.346939
28, 32, 509, 13, 19, 0.346939
36, 24, 364, 12, 12, 0.301020
35, 25, 468, 14, 11, 0.331633
30, 30, 467, 13, 17, 0.336735
35, 25, 468, 14, 11, 0.331633
32, 28, 496, 15, 13, 0.295918
35, 25, 444, 15, 10, 0.295918
31, 29, 478, 15, 14, 0.331633
35, 25, 444, 15, 10, 0.295918
29, 31, 486, 16, 15, 0.331633
29, 31, 508, 16, 15, 0.290816
32, 28, 416, 12, 16, 0.362245
29, 31, 508, 16, 15, 0.290816
27, 33, 471, 12, 21, 0.372449
32, 28, 398, 15, 13, 0.311224
27, 33, 479, 17, 16, 0.301020
29, 31, 493, 17, 14, 0.280612
32, 28, 542, 18, 10, 0.265306
31, 29, 474, 17, 12, 0.295918
35, 25, 424, 12, 13, 0.341837
35, 25, 424, 12, 13, 0.341837
36, 24, 480, 13, 11, 0.352041
29, 31, 506, 14, 17, 0.341837
35, 25, 430, 13, 12, 0.311224
36, 24, 480, 13, 11, 0.352041
35, 25, 430, 13, 12, 0.311224
31, 29, 440, 13, 16, 0.331633
21, 39, 622, 19, 20, 0.311224
26, 34, 505, 17, 17, 0.301020
32, 28, 387, 15, 13, 0.260204
32, 28, 477, 16, 12, 0.275510
32, 28, 477, 16, 12, 0.275510
32, 28, 493, 17, 11, 0.301020
32, 28, 493, 17, 11, 0.301020
31, 29, 480, 13, 16, 0.321429
32, 28, 434, 12, 16, 0.372449
33, 27, 472, 12, 15, 0.331633
32, 28, 515, 13, 15, 0.357143
35, 25, 384, 12, 13, 0.326531
28, 32, 533, 16, 16, 0.316327
31, 29, 492, 14, 15, 0.357143
32, 28, 485, 14, 14, 0.326531
33, 27, 490, 13, 14, 0.326531
27, 33, 543, 19, 14, 0.260204
32, 28, 439, 11, 17, 0.387755
32, 28, 439, 11, 17, 0.387755
33, 27, 399, 13, 14, 0.301020
31, 29, 458, 13, 16, 0.331633
28, 32, 493, 15, 17, 0.290816
32, 28, 478, 12, 16, 0.372449
32, 28, 416, 10, 18, 0.387755
32, 28, 416, 10, 18, 0.387755
28, 32, 498, 14, 18, 0.311224
32, 28, 529, 16, 12, 0.280612
28, 32, 489, 16, 16, 0.285714
26, 34, 566, 16, 18, 0.346939
32, 28, 529, 16, 12, 0.280612
29, 31, 502, 15, 16, 0.331633
32, 28, 497, 15, 13, 0.316327
30, 30, 464, 12, 18, 0.336735
33, 27, 425, 12, 15, 0.341837
27, 33, 500, 15, 18, 0.316327
30, 30, 462, 17, 13, 0.311224
35, 25, 400, 12, 13, 0.316327
31, 29, 493, 14, 15, 0.316327
30, 30, 462, 17, 13, 0.311224
31, 29, 493, 14, 15, 0.316327
32, 28, 453, 11, 17, 0.357143
33, 27, 447, 16, 11, 0.290816
25, 35, 516, 19, 16, 0.290816
34, 26, 373, 15, 11, 0.280612
34, 26, 373, 15, 11, 0.280612
32, 28, 463, 13, 15, 0.346939
33, 27, 422, 13, 14, 0.311224
29, 31, 467, 13, 18, 0.352041
33, 27, 409, 15, 12, 0.295918
25, 35, 615, 21, 14, 0.285714
27, 33, 534, 16, 17, 0.346939
25, 35, 615, 21, 14, 0.285714
31, 29, 547, 16, 13, 0.306122
29, 31, 501, 16, 15, 0.295918
26, 34, 524, 18, 16, 0.311224
31, 29, 479, 16, 13, 0.321429
31, 29, 479, 16, 13, 0.321429
30, 30, 452, 15, 15, 0.316327
33, 27, 485, 15, 12, 0.301020
30, 30, 443, 12, 18, 0.346939
32, 28, 469, 12, 16, 0.331633
32, 28, 469, 12, 16, 0.331633
32, 28, 436, 15, 13, 0.301020
32, 28, 474, 15, 13, 0.295918
32, 28, 459, 12, 16, 0.352041
32, 28, 459, 12, 16, 0.352041
33, 27, 468, 13, 14, 0.326531
32, 28, 468, 15, 13, 0.285714
36, 24, 484, 13, 11, 0.311224
31, 29, 473, 15, 14, 0.321429
30, 30, 545, 15, 15, 0.321429
34, 26, 421, 13, 13, 0.306122
36, 24, 484, 13, 11, 0.311224
34, 26, 421, 13, 13, 0.306122
33, 27, 413, 13, 14, 0.326531
28, 32, 514, 16, 16, 0.311224
29, 31, 491, 17, 14, 0.326531
29, 31, 491, 17, 14, 0.326531
33, 27, 440, 14, 13, 0.306122
35, 25, 398, 10, 15, 0.357143
31, 29, 449, 13, 16, 0.372449
32, 28, 482, 16, 12, 0.301020
32, 28, 482, 16, 12, 0.301020
31, 29, 465, 11, 18, 0.346939
28, 32, 569, 22, 10, 0.239796
30, 30, 443, 17, 13, 0.295918
34, 26, 380, 12, 14, 0.326531
32, 28, 443, 14, 14, 0.321429
28, 32, 481, 16, 16, 0.301020
28, 32, 481, 16, 16, 0.301020
35, 25, 388, 9, 16, 0.357143
39, 21, 378, 13, 8, 0.285714
30, 30, 457, 17, 13, 0.295918
27, 33, 498, 14, 19, 0.326531
30, 30, 457, 17, 13, 0.295918
35, 25, 481, 14, 11, 0.290816
38, 22, 392, 12, 10, 0.301020
27, 33, 525, 20, 13, 0.301020
33, 27, 494, 17, 10, 0.295918
33, 27, 494, 17, 10, 0.295918
35, 25, 422, 12, 13, 0.352041
30, 30, 520, 16, 14, 0.311224
33, 27, 547, 18, 9, 0.311224
33, 27, 547, 18, 9, 0.311224
30, 30, 460, 16, 14, 0.290816
34, 26, 381, 12, 14, 0.316327
29, 31, 561, 17, 14, 0.285714
30, 30, 526, 16, 14, 0.316327
31, 29, 476, 18, 11, 0.311224
31, 29, 476, 18, 11, 0.311224
29, 31, 538, 17, 14, 0.306122
29, 31, 538, 17, 14, 0.306122
32, 28, 492, 14, 14, 0.326531
27, 33, 493, 16, 17, 0.295918
31, 29, 439, 14, 15, 0.321429
30, 30, 446, 14, 16, 0.326531
35, 25, 475, 12, 13, 0.331633
28, 32, 478, 14, 18, 0.311224
35, 25, 475, 12, 13, 0.331633
35, 25, 391, 10, 15, 0.372449
32, 28, 468, 12, 16, 0.326531
30, 30, 482, 14, 16, 0.290816
31, 29, 514, 14, 15, 0.331633
31, 29, 514, 14, 15, 0.331633
30, 30, 517, 13, 17, 0.326531
31, 29, 542, 14, 15, 0.357143
29, 31, 492, 15, 16, 0.316327
29, 31, 492, 15, 16, 0.316327
37, 23, 415, 15, 8, 0.275510
31, 29, 476, 13, 16, 0.326531
27, 33, 536, 17, 16, 0.295918
34, 26, 429, 13, 13, 0.331633
27, 33, 536, 17, 16, 0.295918
31, 29, 414, 11, 18, 0.357143
31, 29, 451, 15, 14, 0.285714
30, 30, 508, 16, 14, 0.301020
31, 29, 467, 16, 13, 0.311224
31, 29, 467, 16, 13, 0.311224
31, 29, 463, 16, 13, 0.301020
30, 30, 497, 12, 18, 0.341837
31, 29, 463, 16, 13, 0.301020
31, 29, 456, 14, 15, 0.321429
33, 27, 404, 13, 14, 0.311224
31, 29, 440, 14, 15, 0.301020
26, 34, 504, 16, 18, 0.316327
29, 31, 534, 17, 14, 0.301020
29, 31, 534, 17, 14, 0.301020
30, 30, 482, 17, 13, 0.295918
35, 25, 403, 13, 12, 0.311224
32, 28, 424, 14, 14, 0.316327
32, 28, 424, 14, 14, 0.316327
34, 26, 461, 13, 13, 0.316327
35, 25, 386, 11, 14, 0.321429
33, 27, 481, 15, 12, 0.301020
33, 27, 481, 15, 12, 0.301020
34, 26, 437, 13, 13, 0.321429
35, 25, 423, 14, 11, 0.290816
31, 29, 490, 12, 17, 0.367347
31, 29, 436, 11, 18, 0.341837
31, 29, 480, 12, 17, 0.341837
31, 29, 480, 12, 17, 0.341837
34, 26, 378, 13, 13, 0.326531
32, 28, 488, 15, 13, 0.295918
31, 29, 474, 17, 12, 0.295918
35, 25, 424, 12, 13, 0.341837
35, 25, 424, 12, 13, 0.341837
35, 25, 426, 11, 14, 0.341837
33, 27, 465, 12, 15, 0.352041
27, 33, 529, 17, 16, 0.326531
31, 29, 451, 15, 14, 0.306122
31, 29, 427, 12, 17, 0.346939
38, 22, 367, 11, 11, 0.341837
31, 29, 451, 15, 14, 0.306122
38, 22, 367, 11, 11, 0.341837
29, 31, 452, 13, 18, 0.352041
33, 27, 439, 13, 14, 0.341837
30, 30, 484, 15, 15, 0.306122
33, 27, 439, 13, 14, 0.341837
33, 27, 443, 13, 14, 0.326531
34, 26, 492, 13, 13, 0.326531
34, 26, 492, 13, 13, 0.326531
30, 30, 498, 15, 15, 0.316327
32, 28, 474, 16, 12, 0.311224
35, 25, 355, 13, 12, 0.316327
29, 31, 501, 18, 13, 0.311224
30, 30, 525, 12, 18, 0.372449
29, 31, 471, 15, 16, 0.306122
29, 31, 509, 15, 16, 0.387755
29, 31, 509, 15, 16, 0.387755
31, 29, 476, 12, 17, 0.377551
29, 31, 533, 18, 13, 0.295918
35, 25, 461, 13, 12, 0.311224
33, 27, 455, 17, 10, 0.285714
33, 27, 455, 17, 10, 0.285714
31, 29, 466, 14, 15, 0.321429
29, 31, 545, 15, 16, 0.326531
35, 25, 479, 13, 12, 0.336735
30, 30, 492, 15, 15, 0.316327
30, 30, 492, 15, 15, 0.316327
36, 24, 408, 13, 11, 0.321429
32, 28, 451, 11, 17, 0.362245
33, 27, 433, 11, 16, 0.357143
30, 30, 450, 14, 16, 0.331633
32, 28, 493, 13, 15, 0.331633
31, 29, 388, 13, 16, 0.331633
31, 29, 472, 15, 14, 0.336735
32, 28, 493, 13, 15, 0.331633
28, 32, 564, 16, 16, 0.326531
28, 32, 476, 10, 22, 0.403061
32, 28, 535, 17, 11, 0.295918
34, 26, 533, 15, 11, 0.336735
34, 26, 533, 15, 11, 0.336735
36, 24, 406, 11, 13, 0.346939
31, 29, 397, 12, 17, 0.326531
32, 28, 405, 13, 15, 0.336735
32, 28, 405, 13, 15, 0.336735
38, 22, 385, 13, 9, 0.285714
27, 33, 521, 15, 18, 0.306122
29, 31, 482, 16, 15, 0.316327
35, 25, 370, 9, 16, 0.377551
31, 29, 448, 15, 14, 0.285714
29, 31, 519, 13, 18, 0.346939
29, 31, 519, 13, 18, 0.346939
33, 27, 451, 14, 13, 0.306122
35, 25, 437, 14, 11, 0.306122
31, 29, 448, 12, 17, 0.341837
33, 27, 412, 13, 14, 0.331633
32, 28, 449, 13, 15, 0.341837
33, 27, 413, 11, 16, 0.372449
31, 29, 435, 12, 17, 0.357143
27, 33, 475, 13, 20, 0.362245
27, 33, 475, 13, 20, 0.362245
28, 32, 501, 16, 16, 0.290816
34, 26, 469, 13, 13, 0.341837
31, 29, 443, 13, 16, 0.326531
33, 27, 434, 12, 15, 0.357143
28, 32, 578, 19, 13, 0.270408
33, 27, 434, 12, 15, 0.357143
33, 27, 429, 10, 17, 0.382653
35, 25, 533, 17, 8, 0.255102
36, 24, 389, 10, 14, 0.352041
33, 27, 425, 17, 10, 0.260204
36, 24, 389, 10, 14, 0.352041
33, 27, 425, 17, 10, 0.260204
31, 29, 551, 14, 15, 0.316327
24, 36, 576, 19, 17, 0.301020
34, 26, 396, 13, 13, 0.285714
38, 22, 431, 12, 10, 0.316327
34, 26, 448, 14, 12, 0.331633
38, 22, 431, 12, 10, 0.316327
34, 26, 448, 14, 12, 0.331633
34, 26, 387, 10, 16, 0.367347
30, 30, 466, 15, 15, 0.306122
32, 28, 479, 13, 15, 0.326531
31, 29, 457, 16, 13, 0.285714
27, 33, 575, 17, 16, 0.316327
30, 30, 469, 14, 16, 0.326531
32, 28, 479, 13, 15, 0.326531
30, 30, 469, 14, 16, 0.326531
