trivial, nontrivial, cycles, bl, routed, usage
35, 25, 421, 14, 11, 0.306122
29, 31, 498, 16, 15, 0.316327
30, 30, 438, 15, 15, 0.306122
29, 31, 498, 16, 15, 0.316327
30, 30, 438, 15, 15, 0.306122
32, 28, 487, 15, 13, 0.367347
23, 37, 593, 18, 19, 0.316327
31, 29, 480, 15, 14, 0.301020
31, 29, 480, 15, 14, 0.301020
31, 29, 471, 13, 16, 0.321429
32, 28, 462, 13, 15, 0.346939
34, 26, 415, 14, 12, 0.321429
34, 26, 415, 14, 12, 0.321429
31, 29, 436, 11, 18, 0.341837
31, 29, 480, 12, 17, 0.341837
31, 29, 480, 12, 17, 0.341837
34, 26, 381, 13, 13, 0.326531
32, 28, 488, 15, 13, 0.295918
29, 31, 440, 17, 14, 0.285714
34, 26, 443, 11, 15, 0.362245
32, 28, 460, 15, 13, 0.301020
29, 31, 502, 16, 15, 0.316327
32, 28, 432, 13, 15, 0.326531
30, 30, 389, 11, 19, 0.341837
32, 28, 432, 13, 15, 0.326531
28, 32, 532, 12, 20, 0.377551
29, 31, 486, 15, 16, 0.362245
36, 24, 441, 13, 11, 0.341837
36, 24, 441, 13, 11, 0.341837
33, 27, 493, 16, 11, 0.306122
34, 26, 464, 15, 11, 0.285714
29, 31, 492, 14, 17, 0.341837
30, 30, 514, 19, 11, 0.250000
32, 28, 523, 17, 11, 0.280612
31, 29, 461, 11, 18, 0.346939
31, 29, 478, 12, 17, 0.357143
36, 24, 425, 14, 10, 0.321429
26, 34, 500, 16, 18, 0.311224
32, 28, 443, 15, 13, 0.290816
25, 35, 569, 16, 19, 0.326531
33, 27, 446, 13, 14, 0.316327
32, 28, 443, 15, 13, 0.290816
33, 27, 446, 13, 14, 0.316327
33, 27, 443, 14, 13, 0.301020
40, 20, 341, 11, 9, 0.316327
40, 20, 341, 11, 9, 0.316327
28, 32, 478, 13, 19, 0.362245
31, 29, 478, 14, 15, 0.336735
28, 32, 478, 13, 19, 0.362245
33, 27, 451, 12, 15, 0.321429
38, 22, 432, 12, 10, 0.316327
35, 25, 455, 14, 11, 0.285714
28, 32, 521, 17, 15, 0.316327
33, 27, 416, 11, 16, 0.357143
35, 25, 455, 14, 11, 0.285714
33, 27, 416, 11, 16, 0.357143
30, 30, 512, 18, 12, 0.280612
39, 21, 357, 15, 6, 0.255102
30, 30, 512, 18, 12, 0.280612
39, 21, 357, 15, 6, 0.255102
34, 26, 419, 11, 15, 0.346939
33, 27, 413, 12, 15, 0.306122
35, 25, 467, 17, 8, 0.265306
32, 28, 472, 13, 15, 0.321429
34, 26, 409, 11, 15, 0.346939
31, 29, 470, 10, 19, 0.352041
34, 26, 413, 14, 12, 0.306122
34, 26, 409, 11, 15, 0.346939
34, 26, 413, 14, 12, 0.306122
26, 34, 554, 17, 17, 0.316327
28, 32, 431, 15, 17, 0.306122
34, 26, 425, 14, 12, 0.306122
34, 26, 425, 14, 12, 0.306122
31, 29, 455, 12, 17, 0.362245
33, 27, 440, 12, 15, 0.336735
31, 29, 446, 12, 17, 0.352041
34, 26, 419, 15, 11, 0.285714
34, 26, 419, 15, 11, 0.285714
38, 22, 406, 10, 12, 0.346939
28, 32, 518, 14, 18, 0.336735
36, 24, 364, 12, 12, 0.295918
35, 25, 481, 14, 11, 0.331633
30, 30, 459, 13, 17, 0.331633
35, 25, 481, 14, 11, 0.331633
32, 28, 516, 15, 13, 0.295918
35, 25, 445, 15, 10, 0.311224
31, 29, 487, 16, 13, 0.321429
35, 25, 445, 15, 10, 0.311224
29, 31, 487, 16, 15, 0.311224
29, 31, 489, 14, 17, 0.336735
32, 28, 428, 12, 16, 0.352041
29, 31, 489, 14, 17, 0.336735
27, 33, 463, 12, 21, 0.372449
32, 28, 373, 14, 14, 0.311224
27, 33, 476, 17, 16, 0.295918
29, 31, 493, 17, 14, 0.285714
32, 28, 542, 18, 10, 0.265306
31, 29, 474, 17, 12, 0.295918
35, 25, 441, 13, 12, 0.321429
35, 25, 441, 13, 12, 0.321429
36, 24, 475, 14, 10, 0.331633
29, 31, 511, 14, 17, 0.331633
35, 25, 422, 13, 12, 0.311224
36, 24, 475, 14, 10, 0.331633
35, 25, 422, 13, 12, 0.311224
31, 29, 444, 14, 15, 0.321429
21, 39, 595, 18, 21, 0.321429
26, 34, 507, 17, 17, 0.301020
32, 28, 387, 15, 13, 0.260204
32, 28, 459, 16, 12, 0.270408
32, 28, 459, 16, 12, 0.270408
32, 28, 488, 17, 11, 0.301020
32, 28, 488, 17, 11, 0.301020
31, 29, 480, 13, 16, 0.321429
32, 28, 443, 12, 16, 0.387755
33, 27, 472, 12, 15, 0.331633
32, 28, 515, 13, 15, 0.352041
35, 25, 375, 12, 13, 0.326531
28, 32, 533, 16, 16, 0.316327
31, 29, 516, 14, 15, 0.357143
32, 28, 485, 14, 14, 0.316327
33, 27, 493, 13, 14, 0.331633
27, 33, 520, 19, 14, 0.260204
32, 28, 439, 11, 17, 0.387755
32, 28, 439, 11, 17, 0.387755
33, 27, 417, 12, 15, 0.321429
31, 29, 484, 12, 17, 0.341837
28, 32, 481, 15, 17, 0.290816
32, 28, 479, 12, 16, 0.372449
32, 28, 425, 10, 18, 0.387755
32, 28, 425, 10, 18, 0.387755
28, 32, 498, 14, 18, 0.311224
32, 28, 511, 16, 12, 0.280612
28, 32, 489, 16, 16, 0.285714
26, 34, 566, 16, 18, 0.341837
32, 28, 511, 16, 12, 0.280612
29, 31, 502, 15, 16, 0.331633
32, 28, 496, 15, 13, 0.316327
30, 30, 470, 12, 18, 0.336735
33, 27, 425, 13, 14, 0.326531
27, 33, 500, 15, 18, 0.316327
30, 30, 462, 17, 13, 0.311224
35, 25, 394, 12, 13, 0.321429
31, 29, 488, 13, 16, 0.326531
30, 30, 462, 17, 13, 0.311224
31, 29, 488, 13, 16, 0.326531
32, 28, 453, 11, 17, 0.357143
33, 27, 447, 16, 11, 0.290816
25, 35, 520, 18, 17, 0.301020
34, 26, 382, 15, 11, 0.280612
34, 26, 382, 15, 11, 0.280612
32, 28, 463, 13, 15, 0.346939
33, 27, 422, 13, 14, 0.311224
29, 31, 464, 13, 18, 0.357143
33, 27, 409, 15, 12, 0.295918
25, 35, 597, 21, 14, 0.285714
27, 33, 517, 15, 18, 0.367347
25, 35, 597, 21, 14, 0.285714
31, 29, 536, 16, 13, 0.301020
29, 31, 501, 16, 15, 0.295918
26, 34, 519, 18, 16, 0.316327
31, 29, 492, 16, 13, 0.326531
31, 29, 492, 16, 13, 0.326531
30, 30, 445, 13, 17, 0.331633
33, 27, 485, 15, 12, 0.295918
30, 30, 443, 12, 18, 0.346939
32, 28, 470, 11, 17, 0.352041
32, 28, 470, 11, 17, 0.352041
32, 28, 433, 15, 13, 0.295918
