trivial, nontrivial, cycles, bl, routed, usage
46, 39, 701, 22, 17, 0.250000
51, 34, 665, 20, 14, 0.265432
53, 32, 769, 18, 14, 0.262346
43, 42, 692, 21, 21, 0.262346
38, 47, 693, 24, 23, 0.256173
49, 36, 630, 19, 17, 0.280864
42, 43, 762, 21, 22, 0.277778
49, 36, 602, 23, 13, 0.246914
42, 43, 690, 24, 19, 0.240741
51, 34, 530, 15, 19, 0.271605
47, 38, 709, 22, 16, 0.246914
40, 45, 738, 22, 23, 0.271605
40, 45, 813, 23, 22, 0.265432
41, 44, 784, 22, 22, 0.283951
40, 45, 813, 23, 22, 0.265432
45, 40, 619, 20, 20, 0.302469
45, 40, 666, 21, 19, 0.246914
40, 45, 813, 23, 22, 0.265432
47, 38, 586, 19, 19, 0.265432
49, 36, 644, 18, 18, 0.277778
44, 41, 755, 22, 19, 0.268519
49, 36, 644, 18, 18, 0.277778
45, 40, 723, 20, 20, 0.265432
49, 36, 644, 18, 18, 0.277778
51, 34, 564, 19, 15, 0.243827
44, 41, 680, 19, 22, 0.277778
44, 41, 629, 22, 19, 0.259259
41, 44, 733, 22, 22, 0.262346
35, 50, 829, 25, 25, 0.277778
39, 46, 783, 27, 19, 0.250000
48, 37, 615, 17, 20, 0.271605
49, 36, 698, 20, 16, 0.246914
48, 37, 606, 18, 19, 0.277778
37, 48, 770, 25, 23, 0.246914
51, 34, 616, 19, 15, 0.280864
49, 36, 643, 20, 16, 0.265432
46, 39, 688, 21, 18, 0.250000
43, 42, 699, 24, 18, 0.243827
44, 41, 770, 25, 16, 0.234568
43, 42, 628, 24, 18, 0.262346
42, 43, 743, 22, 21, 0.259259
38, 47, 761, 25, 22, 0.253086
43, 42, 712, 19, 23, 0.311728
44, 41, 757, 24, 17, 0.234568
48, 37, 650, 19, 18, 0.262346
40, 45, 785, 21, 24, 0.287037
36, 49, 726, 22, 27, 0.259259
45, 40, 647, 25, 15, 0.231481
44, 41, 645, 20, 21, 0.268519
42, 43, 656, 22, 21, 0.253086
46, 39, 710, 20, 19, 0.271605
41, 44, 676, 26, 18, 0.237654
44, 41, 667, 17, 24, 0.299383
44, 41, 630, 18, 23, 0.299383
46, 39, 671, 19, 20, 0.271605
46, 39, 780, 22, 17, 0.253086
56, 29, 628, 18, 11, 0.271605
50, 35, 617, 19, 16, 0.265432
45, 40, 689, 22, 18, 0.253086
49, 36, 641, 17, 19, 0.274691
44, 41, 651, 21, 20, 0.250000
42, 43, 710, 23, 20, 0.268519
45, 40, 685, 23, 17, 0.259259
45, 40, 721, 19, 21, 0.277778
43, 42, 629, 18, 24, 0.290123
51, 34, 649, 19, 15, 0.262346
48, 37, 806, 23, 14, 0.237654
37, 48, 790, 21, 27, 0.283951
43, 42, 681, 20, 22, 0.296296
44, 41, 591, 18, 23, 0.271605
42, 43, 752, 24, 19, 0.240741
43, 42, 781, 22, 20, 0.268519
51, 34, 587, 19, 15, 0.256173
42, 43, 825, 21, 22, 0.283951
42, 43, 647, 21, 22, 0.259259
50, 35, 796, 24, 11, 0.231481
42, 43, 720, 22, 21, 0.293210
44, 41, 632, 19, 22, 0.277778
42, 43, 725, 23, 20, 0.259259
41, 44, 715, 22, 22, 0.256173
42, 43, 725, 23, 20, 0.259259
49, 36, 685, 24, 12, 0.231481
42, 43, 725, 23, 20, 0.259259
44, 41, 694, 19, 22, 0.271605
46, 39, 777, 22, 17, 0.259259
53, 32, 638, 21, 11, 0.237654
41, 44, 736, 23, 21, 0.246914
50, 35, 699, 19, 16, 0.259259
50, 35, 564, 22, 13, 0.222222
42, 43, 699, 24, 19, 0.237654
50, 35, 564, 22, 13, 0.222222
50, 35, 564, 22, 13, 0.222222
38, 47, 859, 26, 21, 0.243827
42, 43, 676, 19, 24, 0.283951
45, 40, 585, 23, 17, 0.262346
47, 38, 591, 21, 17, 0.253086
45, 40, 697, 23, 17, 0.246914
46, 39, 634, 16, 23, 0.314815
42, 43, 667, 24, 19, 0.243827
44, 41, 760, 27, 14, 0.216049
42, 43, 776, 24, 19, 0.259259
44, 41, 653, 19, 22, 0.293210
41, 44, 751, 21, 23, 0.265432
50, 35, 673, 18, 17, 0.268519
42, 43, 813, 21, 22, 0.287037
47, 38, 597, 20, 18, 0.246914
49, 36, 744, 21, 15, 0.243827
43, 42, 667, 19, 23, 0.268519
47, 38, 597, 20, 18, 0.246914
47, 38, 585, 18, 20, 0.256173
47, 38, 597, 20, 18, 0.246914
43, 42, 694, 21, 21, 0.277778
43, 42, 733, 22, 20, 0.265432
47, 38, 650, 18, 20, 0.274691
47, 38, 624, 21, 17, 0.246914
44, 41, 655, 21, 20, 0.265432
41, 44, 708, 22, 22, 0.271605
43, 42, 760, 17, 25, 0.302469
45, 40, 824, 21, 19, 0.290123
53, 32, 678, 17, 15, 0.271605
42, 43, 703, 19, 24, 0.290123
