trivial, nontrivial, cycles, bl, routed, usage
78, 47, 823, 27, 20, 0.262397
83, 42, 879, 22, 20, 0.268595
82, 43, 902, 24, 19, 0.291322
73, 52, 934, 26, 26, 0.268595
74, 51, 1026, 30, 21, 0.289256
80, 45, 940, 24, 21, 0.283058
78, 47, 881, 29, 18, 0.233471
79, 46, 1193, 23, 23, 0.289256
75, 50, 1032, 30, 20, 0.247934
73, 52, 1032, 27, 25, 0.289256
73, 52, 924, 29, 23, 0.258264
71, 54, 1010, 28, 26, 0.260331
82, 43, 953, 27, 16, 0.276860
71, 54, 1098, 26, 28, 0.289256
75, 50, 1049, 25, 25, 0.301653
78, 47, 1110, 26, 21, 0.276860
72, 53, 971, 25, 28, 0.303719
74, 51, 1067, 25, 26, 0.295455
78, 47, 877, 25, 22, 0.278926
68, 57, 1073, 30, 27, 0.264463
75, 50, 858, 28, 22, 0.247934
78, 47, 873, 19, 28, 0.326446
69, 56, 1041, 25, 31, 0.324380
76, 49, 968, 20, 29, 0.318182
76, 49, 968, 20, 29, 0.318182
69, 56, 959, 25, 31, 0.295455
77, 48, 999, 28, 20, 0.262397
80, 45, 920, 24, 21, 0.295455
74, 51, 1146, 26, 25, 0.303719
79, 46, 906, 22, 24, 0.287190
74, 51, 1146, 26, 25, 0.303719
80, 45, 868, 18, 27, 0.307851
73, 52, 1085, 31, 21, 0.272727
73, 52, 1085, 31, 21, 0.272727
75, 50, 932, 24, 26, 0.324380
74, 51, 1149, 23, 28, 0.314050
75, 50, 956, 25, 25, 0.262397
76, 49, 1095, 26, 23, 0.301653
72, 53, 1000, 25, 28, 0.295455
72, 53, 1000, 25, 28, 0.295455
71, 54, 1030, 29, 25, 0.264463
74, 51, 1051, 26, 25, 0.301653
79, 46, 921, 22, 24, 0.309917
71, 54, 1185, 28, 26, 0.295455
80, 45, 1105, 24, 21, 0.264463
71, 54, 1185, 28, 26, 0.295455
76, 49, 975, 25, 24, 0.285124
80, 45, 918, 23, 22, 0.285124
75, 50, 948, 20, 30, 0.311983
76, 49, 1079, 26, 23, 0.283058
68, 57, 1028, 29, 28, 0.274793
77, 48, 948, 26, 22, 0.272727
68, 57, 1028, 29, 28, 0.274793
73, 52, 1046, 25, 27, 0.305785
71, 54, 980, 27, 27, 0.268595
85, 40, 904, 24, 16, 0.250000
79, 46, 985, 24, 22, 0.285124
77, 48, 1051, 23, 25, 0.299587
73, 52, 987, 26, 26, 0.295455
66, 59, 1114, 25, 34, 0.324380
73, 52, 987, 26, 26, 0.295455
73, 52, 1053, 24, 28, 0.305785
72, 53, 979, 30, 23, 0.256198
74, 51, 936, 28, 23, 0.256198
73, 52, 1055, 30, 22, 0.287190
71, 54, 1088, 34, 20, 0.272727
70, 55, 1099, 26, 29, 0.301653
71, 54, 1088, 34, 20, 0.272727
82, 43, 820, 21, 22, 0.270661
78, 47, 1042, 22, 25, 0.299587
80, 45, 829, 23, 22, 0.268595
72, 53, 1002, 31, 22, 0.266529
72, 53, 1002, 31, 22, 0.266529
73, 52, 943, 25, 27, 0.287190
82, 43, 863, 22, 21, 0.270661
81, 44, 939, 23, 21, 0.278926
75, 50, 861, 22, 28, 0.287190
75, 50, 861, 22, 28, 0.287190
70, 55, 1000, 29, 26, 0.262397
74, 51, 979, 22, 29, 0.309917
73, 52, 1073, 31, 21, 0.256198
77, 48, 955, 25, 23, 0.280992
70, 55, 1042, 26, 29, 0.291322
79, 46, 1071, 26, 20, 0.264463
66, 59, 1142, 29, 30, 0.276860
73, 52, 1180, 27, 25, 0.272727
76, 49, 950, 25, 24, 0.301653
84, 41, 1018, 27, 14, 0.252066
73, 52, 1180, 27, 25, 0.272727
73, 52, 946, 28, 24, 0.276860
69, 56, 1016, 32, 24, 0.243802
70, 55, 1073, 28, 27, 0.276860
80, 45, 899, 26, 19, 0.272727
69, 56, 1016, 32, 24, 0.243802
77, 48, 915, 29, 19, 0.245868
71, 54, 921, 25, 29, 0.272727
74, 51, 1105, 30, 21, 0.268595
74, 51, 1011, 21, 30, 0.332645
72, 53, 1031, 24, 29, 0.305785
76, 49, 906, 23, 26, 0.291322
78, 47, 914, 25, 22, 0.260331
71, 54, 1088, 28, 26, 0.270661
73, 52, 1052, 26, 26, 0.291322
73, 52, 1052, 26, 26, 0.291322
78, 47, 928, 25, 22, 0.301653
77, 48, 985, 25, 23, 0.291322
71, 54, 1101, 28, 26, 0.285124
73, 52, 946, 23, 29, 0.297521
74, 51, 954, 25, 26, 0.309917
77, 48, 916, 26, 22, 0.270661
67, 58, 1285, 32, 26, 0.278926
76, 49, 887, 29, 20, 0.264463
75, 50, 1098, 22, 28, 0.307851
73, 52, 1027, 24, 28, 0.307851
72, 53, 968, 24, 29, 0.278926
76, 49, 1052, 24, 25, 0.299587
75, 50, 1080, 28, 22, 0.272727
74, 51, 1001, 22, 29, 0.303719
68, 57, 1236, 31, 26, 0.278926
79, 46, 963, 24, 22, 0.274793
64, 61, 1213, 30, 31, 0.272727
69, 56, 1082, 30, 26, 0.283058
73, 52, 1196, 27, 25, 0.287190
73, 52, 1196, 27, 25, 0.287190
71, 54, 887, 23, 31, 0.283058
68, 57, 999, 31, 26, 0.256198
80, 45, 1033, 26, 19, 0.268595
77, 48, 1117, 24, 24, 0.309917
71, 54, 1135, 30, 24, 0.266529
66, 59, 1033, 31, 28, 0.270661
73, 52, 1007, 25, 27, 0.299587
74, 51, 992, 28, 23, 0.291322
65, 60, 1215, 30,
