trivial, nontrivial, cycles, bl, routed, usage
78, 47, 830, 26, 21, 0.270661
83, 42, 878, 22, 20, 0.268595
82, 43, 901, 24, 19, 0.291322
73, 52, 925, 26, 26, 0.268595
74, 51, 1025, 30, 21, 0.289256
80, 45, 947, 23, 22, 0.299587
78, 47, 880, 29, 18, 0.233471
79, 46, 1192, 23, 23, 0.291322
75, 50, 1031, 30, 20, 0.247934
73, 52, 1019, 27, 25, 0.285124
73, 52, 918, 29, 23, 0.258264
71, 54, 1023, 28, 26, 0.266529
82, 43, 944, 27, 16, 0.274793
71, 54, 1092, 26, 28, 0.287190
75, 50, 1048, 25, 25, 0.301653
78, 47, 1106, 26, 21, 0.274793
72, 53, 946, 23, 30, 0.311983
74, 51, 1066, 25, 26, 0.295455
78, 47, 872, 25, 22, 0.280992
68, 57, 1069, 30, 27, 0.264463
75, 50, 858, 29, 21, 0.245868
78, 47, 884, 19, 28, 0.326446
69, 56, 1072, 30, 26, 0.285124
76, 49, 972, 20, 29, 0.320248
76, 49, 972, 20, 29, 0.320248
69, 56, 935, 26, 30, 0.305785
77, 48, 1008, 28, 20, 0.260331
80, 45, 900, 25, 20, 0.289256
74, 51, 1143, 25, 26, 0.311983
79, 46, 905, 22, 24, 0.287190
74, 51, 1143, 25, 26, 0.311983
80, 45, 867, 18, 27, 0.307851
73, 52, 1086, 32, 20, 0.262397
73, 52, 1086, 32, 20, 0.262397
75, 50, 903, 23, 27, 0.324380
74, 51, 1127, 22, 29, 0.314050
75, 50, 960, 25, 25, 0.264463
76, 49, 1094, 26, 23, 0.301653
72, 53, 999, 25, 28, 0.293388
72, 53, 999, 25, 28, 0.293388
71, 54, 1023, 29, 25, 0.268595
74, 51, 1058, 26, 25, 0.301653
79, 46, 930, 22, 24, 0.309917
71, 54, 1184, 27, 27, 0.297521
80, 45, 1104, 24, 21, 0.264463
71, 54, 1184, 27, 27, 0.297521
76, 49, 974, 25, 24, 0.285124
80, 45, 933, 22, 23, 0.291322
75, 50, 980, 21, 29, 0.305785
76, 49, 1078, 26, 23, 0.280992
68, 57, 1004, 27, 30, 0.287190
77, 48, 969, 26, 22, 0.272727
68, 57, 1004, 27, 30, 0.287190
73, 52, 1029, 25, 27, 0.295455
71, 54, 979, 27, 27, 0.268595
85, 40, 908, 24, 16, 0.250000
79, 46, 911, 26, 20, 0.274793
77, 48, 1050, 23, 25, 0.299587
73, 52, 973, 27, 25, 0.293388
66, 59, 1120, 24, 35, 0.330579
73, 52, 973, 27, 25, 0.293388
73, 52, 1052, 24, 28, 0.303719
72, 53, 1010, 28, 25, 0.264463
74, 51, 956, 27, 24, 0.266529
73, 52, 1041, 31, 21, 0.285124
71, 54, 1077, 34, 20, 0.276860
70, 55, 1089, 25, 30, 0.305785
71, 54, 1077, 34, 20, 0.276860
82, 43, 820, 20, 23, 0.276860
78, 47, 1035, 22, 25, 0.299587
80, 45, 856, 21, 24, 0.278926
72, 53, 1001, 31, 22, 0.270661
72, 53, 1001, 31, 22, 0.270661
73, 52, 943, 26, 26, 0.280992
82, 43, 862, 22, 21, 0.270661
81, 44, 955, 22, 22, 0.285124
75, 50, 847, 23, 27, 0.276860
75, 50, 847, 23, 27, 0.276860
70, 55, 985, 29, 26, 0.262397
74, 51, 973, 22, 29, 0.311983
73, 52, 1081, 31, 21, 0.256198
77, 48, 963, 25, 23, 0.283058
70, 55, 1032, 26, 29, 0.291322
79, 46, 1040, 24, 22, 0.283058
66, 59, 1153, 28, 31, 0.285124
73, 52, 1175, 28, 24, 0.274793
76, 49, 943, 25, 24, 0.303719
84, 41, 1017, 27, 14, 0.252066
73, 52, 1175, 28, 24, 0.274793
73, 52, 945, 28, 24, 0.274793
69, 56, 1003, 31, 25, 0.245868
70, 55, 1071, 29, 26, 0.268595
80, 45, 890, 26, 19, 0.276860
69, 56, 1003, 31, 25, 0.245868
77, 48, 914, 29, 19, 0.245868
71, 54, 913, 26, 28, 0.264463
74, 51, 1122, 31, 20, 0.258264
74, 51, 1004, 21, 30, 0.318182
72, 53, 1029, 24, 29, 0.305785
76, 49, 891, 22, 27, 0.295455
78, 47, 857, 26, 21, 0.250000
71, 54, 1083, 28, 26, 0.268595
73, 52, 1056, 26, 26, 0.293388
73, 52, 1056, 26, 26, 0.293388
78, 47, 927, 25, 22, 0.301653
77, 48, 987, 24, 24, 0.289256
71, 54, 1100, 28, 26, 0.285124
73, 52, 944, 23, 29, 0.297521
74, 51, 953, 25, 26, 0.309917
77, 48, 933, 25, 23, 0.278926
67, 58, 1283, 31, 27, 0.283058
76, 49, 877, 28, 21, 0.264463
75, 50, 1097, 22, 28, 0.307851
73, 52, 1009, 24, 28, 0.307851
72, 53, 967, 24, 29, 0.278926
76, 49, 1078, 23, 26, 0.283058
75, 50, 1021, 29, 21, 0.274793
74, 51, 1000, 22, 29, 0.305785
68, 57, 1206, 31, 26, 0.276860
79, 46, 950, 24, 22, 0.276860
64, 61, 1224, 29, 32, 0.280992
69, 56, 1088, 30, 26, 0.280992
73, 52, 1141, 28, 24, 0.278926
73, 52, 1141, 28, 24, 0.278926
71, 54, 878, 24, 30, 0.278926
68, 57, 1004, 31, 26, 0.256198
80, 45, 1038, 26, 19, 0.264463
77, 48, 1116, 24, 24, 0.309917
71, 54, 1180, 32, 22, 0.256198
66, 59, 1069, 32, 27, 0.278926
73, 52, 1010, 25, 27, 0.285124
74, 51, 994, 29, 22, 0.289256
65, 60, 1143, 31,
