trivial, nontrivial, cycles, bl, routed, usage
78, 47, 825, 26, 21, 0.266529
83, 42, 878, 22, 20, 0.268595
82, 43, 898, 24, 19, 0.289256
73, 52, 941, 26, 26, 0.268595
74, 51, 1025, 30, 21, 0.289256
80, 45, 941, 24, 21, 0.285124
78, 47, 880, 29, 18, 0.233471
79, 46, 1187, 22, 24, 0.301653
75, 50, 1051, 29, 21, 0.254132
73, 52, 1031, 27, 25, 0.289256
73, 52, 918, 29, 23, 0.258264
71, 54, 1002, 29, 25, 0.252066
82, 43, 952, 27, 16, 0.276860
71, 54, 1103, 26, 28, 0.287190
75, 50, 1048, 25, 25, 0.303719
78, 47, 1109, 26, 21, 0.276860
72, 53, 970, 25, 28, 0.303719
74, 51, 1064, 25, 26, 0.291322
78, 47, 876, 25, 22, 0.278926
68, 57, 1077, 29, 28, 0.270661
75, 50, 857, 28, 22, 0.247934
78, 47, 876, 19, 28, 0.326446
69, 56, 1040, 25, 31, 0.326446
76, 49, 971, 20, 29, 0.318182
76, 49, 971, 20, 29, 0.318182
69, 56, 973, 27, 29, 0.289256
77, 48, 1008, 28, 20, 0.258264
80, 45, 901, 25, 20, 0.289256
74, 51, 1140, 25, 26, 0.309917
79, 46, 905, 22, 24, 0.287190
74, 51, 1140, 25, 26, 0.309917
80, 45, 867, 18, 27, 0.307851
73, 52, 1086, 32, 20, 0.262397
73, 52, 1086, 32, 20, 0.262397
75, 50, 909, 24, 26, 0.324380
74, 51, 1135, 23, 28, 0.309917
75, 50, 933, 25, 25, 0.262397
76, 49, 1094, 26, 23, 0.301653
72, 53, 999, 25, 28, 0.295455
72, 53, 999, 25, 28, 0.295455
71, 54, 1036, 29, 25, 0.268595
74, 51, 1049, 26, 25, 0.301653
79, 46, 920, 22, 24, 0.309917
71, 54, 1192, 27, 27, 0.301653
80, 45, 1104, 24, 21, 0.264463
71, 54, 1192, 27, 27, 0.301653
76, 49, 974, 25, 24, 0.285124
80, 45, 937, 22, 23, 0.289256
75, 50, 947, 20, 30, 0.311983
76, 49, 1079, 26, 23, 0.278926
68, 57, 1037, 29, 28, 0.274793
77, 48, 940, 27, 21, 0.268595
68, 57, 1037, 29, 28, 0.274793
73, 52, 1037, 25, 27, 0.305785
71, 54, 955, 27, 27, 0.283058
85, 40, 882, 25, 15, 0.239669
79, 46, 911, 26, 20, 0.272727
77, 48, 1050, 23, 25, 0.301653
73, 52, 1001, 26, 26, 0.285124
66, 59, 1098, 25, 34, 0.324380
73, 52, 1001, 26, 26, 0.285124
73, 52, 1052, 24, 28, 0.303719
72, 53, 1074, 30, 23, 0.254132
74, 51, 943, 27, 24, 0.260331
73, 52, 1041, 31, 21, 0.285124
71, 54, 1090, 34, 20, 0.274793
70, 55, 1101, 26, 29, 0.301653
71, 54, 1090, 34, 20, 0.274793
82, 43, 819, 21, 22, 0.270661
78, 47, 1033, 21, 26, 0.303719
80, 45, 856, 21, 24, 0.278926
72, 53, 1001, 31, 22, 0.270661
72, 53, 1001, 31, 22, 0.270661
73, 52, 943, 26, 26, 0.280992
82, 43, 862, 22, 21, 0.270661
81, 44, 938, 23, 21, 0.278926
75, 50, 847, 23, 27, 0.278926
75, 50, 847, 23, 27, 0.278926
70, 55, 1019, 28, 27, 0.272727
74, 51, 951, 22, 29, 0.309917
73, 52, 1081, 31, 21, 0.256198
77, 48, 954, 25, 23, 0.278926
70, 55, 1028, 26, 29, 0.287190
79, 46, 1061, 24, 22, 0.283058
66, 59, 1151, 28, 31, 0.285124
73, 52, 1178, 27, 25, 0.274793
76, 49, 949, 25, 24, 0.301653
84, 41, 1029, 27, 14, 0.252066
73, 52, 1178, 27, 25, 0.274793
73, 52, 955, 28, 24, 0.285124
69, 56, 1011, 31, 25, 0.247934
70, 55, 1072, 28, 27, 0.278926
80, 45, 915, 25, 20, 0.283058
69, 56, 1011, 31, 25, 0.247934
77, 48, 923, 28, 20, 0.260331
71, 54, 912, 26, 28, 0.266529
74, 51, 1126, 30, 21, 0.260331
74, 51, 1001, 21, 30, 0.334711
72, 53, 1030, 24, 29, 0.305785
76, 49, 905, 23, 26, 0.291322
78, 47, 905, 25, 22, 0.260331
71, 54, 1120, 28, 26, 0.272727
73, 52, 1073, 26, 26, 0.295455
73, 52, 1073, 26, 26, 0.295455
78, 47, 896, 25, 22, 0.291322
77, 48, 984, 25, 23, 0.291322
71, 54, 1084, 28, 26, 0.283058
73, 52, 933, 23, 29, 0.293388
74, 51, 953, 25, 26, 0.309917
77, 48, 924, 25, 23, 0.276860
67, 58, 1289, 31, 27, 0.280992
76, 49, 869, 29, 20, 0.258264
75, 50, 1097, 22, 28, 0.307851
73, 52, 1017, 24, 28, 0.309917
72, 53, 967, 24, 29, 0.276860
76, 49, 1051, 24, 25, 0.299587
75, 50, 1021, 29, 21, 0.274793
74, 51, 1000, 22, 29, 0.305785
68, 57, 1205, 30, 27, 0.280992
79, 46, 962, 24, 22, 0.274793
64, 61, 1222, 29, 32, 0.280992
69, 56, 1092, 30, 26, 0.280992
73, 52, 1191, 27, 25, 0.287190
73, 52, 1191, 27, 25, 0.287190
71, 54, 879, 25, 29, 0.272727
68, 57, 1024, 31, 26, 0.264463
80, 45, 1040, 27, 18, 0.262397
77, 48, 1116, 24, 24, 0.309917
71, 54, 1187, 32, 22, 0.256198
66, 59, 1067, 31, 28, 0.287190
73, 52, 973, 24, 28, 0.299587
74, 51, 994, 29, 22, 0.287190
65, 60, 1222, 3
