trivial, nontrivial, cycles, bl, routed, usage
22, 20, 315, 8, 12, 0.333333
22, 20, 297, 9, 11, 0.305556
28, 14, 234, 7, 7, 0.312500
25, 17, 246, 9, 8, 0.277778
25, 17, 279, 9, 8, 0.291667
22, 20, 297, 9, 11, 0.305556
24, 18, 281, 9, 9, 0.333333
25, 17, 285, 9, 8, 0.284722
23, 19, 260, 7, 12, 0.319444
24, 18, 261, 8, 10, 0.340278
24, 18, 270, 8, 10, 0.326389
24, 18, 261, 8, 10, 0.340278
22, 20, 265, 10, 10, 0.263889
28, 14, 227, 8, 6, 0.298611
22, 20, 259, 11, 9, 0.263889
21, 21, 277, 7, 14, 0.333333
28, 14, 242, 7, 7, 0.333333
28, 14, 242, 7, 7, 0.333333
26, 16, 204, 5, 11, 0.347222
22, 20, 259, 11, 9, 0.263889
24, 18, 263, 8, 10, 0.305556
23, 19, 295, 7, 12, 0.354167
23, 19, 273, 6, 13, 0.354167
21, 21, 313, 7, 14, 0.368056
20, 22, 294, 10, 12, 0.270833
21, 21, 313, 7, 14, 0.368056
23, 19, 295, 7, 12, 0.354167
21, 21, 272, 10, 11, 0.298611
21, 21, 276, 9, 12, 0.298611
27, 15, 249, 7, 8, 0.305556
25, 17, 260, 7, 10, 0.319444
25, 17, 260, 7, 10, 0.319444
25, 17, 254, 7, 10, 0.326389
21, 21, 272, 10, 11, 0.298611
21, 21, 351, 9, 12, 0.340278
23, 19, 356, 12, 7, 0.305556
29, 13, 211, 4, 9, 0.340278
21, 21, 353, 9, 12, 0.312500
19, 23, 314, 7, 16, 0.395833
21, 21, 267, 11, 10, 0.270833
28, 14, 228, 7, 7, 0.298611
28, 14, 228, 7, 7, 0.298611
25, 17, 244, 7, 10, 0.319444
21, 21, 267, 11, 10, 0.270833
21, 21, 345, 9, 12, 0.354167
23, 19, 258, 10, 9, 0.291667
26, 16, 270, 6, 10, 0.361111
19, 23, 343, 11, 12, 0.298611
26, 16, 270, 6, 10, 0.361111
23, 19, 260, 5, 14, 0.361111
20, 22, 296, 9, 13, 0.326389
23, 19, 258, 10, 9, 0.291667
24, 18, 299, 7, 11, 0.326389
26, 16, 273, 9, 7, 0.284722
25, 17, 285, 9, 8, 0.326389
24, 18, 294, 10, 8, 0.298611
26, 16, 278, 9, 7, 0.270833
26, 16, 246, 7, 9, 0.326389
24, 18, 282, 9, 9, 0.298611
22, 20, 289, 9, 11, 0.333333
