trivial, nontrivial, cycles, bl, routed, usage
50, 33, 556, 17, 16, 0.271605
48, 35, 617, 15, 20, 0.290123
49, 34, 557, 13, 21, 0.308642
51, 32, 651, 13, 19, 0.302469
55, 28, 474, 12, 16, 0.287037
51, 32, 651, 13, 19, 0.302469
49, 34, 679, 16, 18, 0.287037
52, 31, 557, 18, 13, 0.243827
47, 36, 581, 17, 19, 0.274691
54, 29, 574, 16, 13, 0.268519
54, 29, 574, 16, 13, 0.268519
47, 36, 718, 19, 17, 0.262346
49, 34, 609, 14, 20, 0.290123
46, 37, 572, 18, 19, 0.268519
46, 37, 610, 17, 20, 0.287037
57, 26, 502, 14, 12, 0.274691
48, 35, 579, 15, 20, 0.290123
49, 34, 581, 22, 12, 0.219136
51, 32, 551, 15, 17, 0.265432
47, 36, 734, 17, 19, 0.299383
55, 28, 470, 16, 12, 0.234568
48, 35, 652, 19, 16, 0.271605
44, 39, 666, 19, 20, 0.271605
49, 34, 552, 19, 15, 0.268519
49, 34, 691, 15, 19, 0.308642
45, 38, 782, 21, 17, 0.246914
49, 34, 691, 15, 19, 0.308642
58, 25, 467, 15, 10, 0.237654
50, 33, 598, 16, 17, 0.296296
50, 33, 674, 19, 14, 0.256173
44, 39, 647, 14, 25, 0.333333
49, 34, 702, 19, 15, 0.256173
50, 33, 596, 18, 15, 0.256173
49, 34, 702, 19, 15, 0.256173
48, 35, 674, 13, 22, 0.317901
52, 31, 530, 16, 15, 0.262346
47, 36, 586, 15, 21, 0.302469
52, 31, 643, 20, 11, 0.240741
50, 33, 589, 17, 16, 0.293210
53, 30, 596, 15, 15, 0.268519
56, 27, 526, 13, 14, 0.293210
47, 36, 556, 18, 18, 0.250000
47, 36, 644, 19, 17, 0.277778
47, 36, 634, 19, 17, 0.283951
50, 33, 528, 16, 17, 0.253086
47, 36, 634, 19, 17, 0.283951
46, 37, 612, 20, 17, 0.253086
46, 37, 657, 20, 17, 0.256173
45, 38, 671, 16, 22, 0.293210
41, 42, 646, 23, 19, 0.268519
52, 31, 521, 15, 16, 0.262346
45, 38, 671, 16, 22, 0.293210
45, 38, 559, 14, 24, 0.287037
53, 30, 525, 16, 14, 0.271605
48, 35, 601, 16, 19, 0.277778
47, 36, 645, 14, 22, 0.311728
49, 34, 510, 18, 16, 0.268519
50, 33, 552, 17, 16, 0.280864
46, 37, 582, 19, 18, 0.250000
55, 28, 500, 13, 15, 0.268519
50, 33, 552, 17, 16, 0.280864
58, 25, 478, 12, 13, 0.283951
53, 30, 631, 18, 12, 0.250000
46, 37, 570, 16, 21, 0.293210
54, 29, 614, 12, 17, 0.296296
50, 33, 530, 18, 15, 0.250000
46, 37, 692, 16, 21, 0.280864
52, 31, 541, 14, 17, 0.299383
47, 36, 620, 15, 21, 0.277778
47, 36, 616, 15, 21, 0.293210
44, 39, 630, 15, 24, 0.283951
51, 32, 619, 13, 19, 0.311728
57, 26, 467, 14, 12, 0.250000
