trivial, nontrivial, cycles, bl, routed, usage
50, 33, 555, 18, 15, 0.271605
48, 35, 618, 15, 20, 0.290123
49, 34, 558, 13, 21, 0.308642
51, 32, 658, 13, 19, 0.302469
55, 28, 475, 12, 16, 0.287037
51, 32, 658, 13, 19, 0.302469
49, 34, 601, 15, 19, 0.296296
52, 31, 558, 18, 13, 0.240741
47, 36, 582, 17, 19, 0.274691
54, 29, 575, 16, 13, 0.271605
54, 29, 575, 16, 13, 0.271605
47, 36, 717, 19, 17, 0.262346
49, 34, 612, 14, 20, 0.293210
46, 37, 573, 18, 19, 0.265432
46, 37, 611, 17, 20, 0.287037
57, 26, 509, 14, 12, 0.271605
48, 35, 588, 16, 19, 0.277778
49, 34, 582, 22, 12, 0.216049
51, 32, 552, 15, 17, 0.265432
47, 36, 741, 17, 19, 0.290123
55, 28, 469, 15, 13, 0.243827
48, 35, 665, 19, 16, 0.265432
44, 39, 676, 19, 20, 0.271605
49, 34, 553, 19, 15, 0.268519
49, 34, 692, 15, 19, 0.308642
45, 38, 783, 21, 17, 0.246914
49, 34, 692, 15, 19, 0.308642
58, 25, 468, 15, 10, 0.237654
50, 33, 598, 16, 17, 0.296296
50, 33, 710, 17, 16, 0.302469
44, 39, 656, 13, 26, 0.342593
49, 34, 703, 19, 15, 0.256173
50, 33, 597, 18, 15, 0.259259
49, 34, 703, 19, 15, 0.256173
48, 35, 675, 13, 22, 0.317901
52, 31, 531, 16, 15, 0.262346
47, 36, 587, 15, 21, 0.302469
52, 31, 644, 20, 11, 0.240741
50, 33, 590, 17, 16, 0.293210
53, 30, 597, 15, 15, 0.268519
56, 27, 527, 13, 14, 0.293210
47, 36, 557, 18, 18, 0.253086
47, 36, 645, 19, 17, 0.277778
47, 36, 638, 19, 17, 0.290123
50, 33, 529, 16, 17, 0.253086
47, 36, 638, 19, 17, 0.290123
46, 37, 613, 20, 17, 0.253086
46, 37, 654, 20, 17, 0.256173
45, 38, 672, 16, 22, 0.293210
41, 42, 656, 23, 19, 0.265432
52, 31, 522, 15, 16, 0.262346
45, 38, 672, 16, 22, 0.293210
45, 38, 562, 14, 24, 0.290123
53, 30, 526, 16, 14, 0.271605
48, 35, 608, 16, 19, 0.274691
47, 36, 646, 14, 22, 0.311728
49, 34, 512, 17, 17, 0.268519
50, 33, 553, 17, 16, 0.280864
46, 37, 587, 19, 18, 0.250000
55, 28, 501, 13, 15, 0.268519
50, 33, 553, 17, 16, 0.280864
58, 25, 479, 12, 13, 0.283951
53, 30, 638, 18, 12, 0.246914
46, 37, 571, 16, 21, 0.293210
54, 29, 615, 12, 17, 0.296296
50, 33, 549, 17, 16, 0.250000
46, 37, 693, 16, 21, 0.283951
52, 31, 554, 15, 16, 0.290123
47, 36, 623, 15, 21, 0.280864
47, 36, 617, 15, 21, 0.293210
44, 39, 625, 15, 24, 0.287037
51, 32, 620, 13, 19, 0.311728
57, 26, 468, 14, 12, 0.250000
51, 32, 620, 13, 19, 0.311728
56, 27, 554, 14, 13, 0.265432
51, 32, 538, 18, 14, 0.234568
50, 33, 606, 18, 15, 0.250000
45, 38, 560, 16, 22, 0.283951
51, 32, 556, 19, 13, 0.240741
49, 34, 646, 15, 19, 0.277778
49, 34, 633, 20, 14, 0.225309
42, 41, 743, 20, 21, 0.265432
49, 34, 573, 16, 18, 0.268519
48, 35, 603, 16, 19, 0.299383
49, 34, 537, 18, 16, 0.250000
55, 28, 489, 15, 13, 0.246914
48, 35, 603, 16, 19, 0.299383
53, 30, 546, 12, 18, 0.290123
56, 27, 503, 15, 12, 0.268519
54, 29, 509, 13, 16, 0.308642
46, 37, 679, 16, 21, 0.302469
58, 25, 420, 12, 13, 0.271605
46, 37, 679, 16, 21, 0.302469
53, 30, 508, 17, 13, 0.265432
56, 27, 469, 14, 13, 0.271605
51, 32, 591, 16, 16, 0.262346
52, 31, 513, 15, 16, 0.274691
46, 37, 778, 19, 18, 0.274691
52, 31, 526, 17, 14, 0.256173
46, 37, 778, 19, 18, 0.274691
44, 39, 779, 15, 24, 0.302469
58, 25, 479, 13, 12, 0.274691
50, 33, 643, 16, 17, 0.271605
49, 34, 517, 18, 16, 0.259259
50, 33, 743, 20, 13, 0.234568
47, 36, 669, 16, 20, 0.299383
56, 27, 484, 14, 13, 0.274691
50, 33, 743, 20, 13, 0.234568
55, 28, 479, 11, 17, 0.317901
53, 30, 523, 18, 12, 0.231481
50, 33, 647, 17, 16, 0.262346
52, 31, 631, 17, 14, 0.250000
47, 36, 684, 16, 20, 0.271605
52, 31, 471, 10, 21, 0.302469
46, 37, 663, 18, 19, 0.277778
46, 37, 542, 19, 18, 0.256173
46, 37, 600, 18, 19, 0.265432
44, 39, 605, 16, 23, 0.296296
56, 27, 499, 12, 15, 0.271605
50, 33, 653, 19, 14, 0.262346
56, 27, 448, 13, 14, 0.277778
48, 35, 595, 17, 18, 0.259259
45, 38, 688, 13, 25, 0.324074
49, 34, 590, 18, 16, 0.274691
48, 35, 523, 14, 21, 0.280864
45, 38, 688, 13, 25, 0.324074
53, 30, 591, 17, 13, 0.250000
54, 29, 521, 9, 20, 0.342593
45, 38, 601, 17, 21, 0.271605
42, 41, 612, 17, 24, 0.271605
40, 43, 731, 22, 21, 0.280864
46, 37, 603, 18, 19, 0.296296
52, 31, 466, 15, 16, 0.259259
49, 34, 532, 18, 16, 0.250000
46, 37, 603, 18, 19, 0.296296
51, 32, 526, 14, 18, 0.274691
45, 38, 712, 20, 18, 0.253086
45, 38, 578, 18, 20, 0.262346
45, 38, 631, 16, 22, 0.302469
55, 28, 523, 12, 16, 0.280864
44, 39, 671, 21, 18, 0.253086
45, 38, 707, 18, 20, 0.287037
45, 38, 580, 18, 20, 0.262346
52, 31, 583, 15, 16, 0.287037
49, 34, 499, 17, 17, 0.246914
53, 30, 529, 14, 16, 0.271605
52, 31, 583, 15, 16, 0.287037
50, 33, 506, 14, 19, 0.280864
50, 33, 544, 20, 13, 0.237654
46, 37, 694, 19, 18, 0.265432
48, 35, 606, 17, 18, 0.305556
44, 39, 604, 16, 23, 0.280864
58, 25, 504, 15, 10, 0.262346
54, 29, 492, 13, 16, 0.320988
48, 35, 620, 20, 15, 0.253086
53, 30, 526, 16, 14, 0.265432
49, 34, 659, 15, 19, 0.296296
48, 35, 555, 16, 19, 0.277778
57, 26, 484, 15, 11, 0.256173
49, 34, 659, 15, 19, 0.296296
52, 31, 535, 16, 15, 0.274691
54, 29, 577, 14, 15, 0.293210
46, 37, 666, 16, 21, 0.290123
49, 34, 655, 19, 15, 0.237654
43, 40, 566, 19, 21, 0.262346
48, 35, 594, 16, 19, 0.287037
58, 25, 429, 12, 13, 0.274691
51, 32, 573, 15, 17, 0.271605
49, 34, 558, 17, 17, 0.277778
